round,x_1,x_2,x_3,x_4,balance_error_kw,cost
480,320.7217940741102,82.00024702361266,227.14379989211758,170.1341590101588,-6.821210263296962e-13,957030.6873857139
490,320.7218135721166,82.0001940461448,227.14382146510343,170.13417091663447,-6.821210263296962e-13,957030.6847410648
500,320.7218288885086,82.00015243047554,227.14383841142433,170.13418026959096,-5.684341886080801e-13,957030.6826636052
510,320.7218409200987,82.00011973986807,227.1438517233574,170.13418761667515,-6.821210263296962e-13,957030.6810316888
520,320.7218503713612,82.00009406019863,227.14386218036068,170.13419338807884,-6.821210263296962e-13,957030.6797497609
530,320.7218577956832,82.00007388786572,227.1438703947199,170.13419792173056,-5.684341886080801e-13,957030.6787427603
540,320.7218636277692,82.0000580417425,227.14387684740385,170.13420148308379,-6.821210263296962e-13,957030.6779517243
550,320.7218682090948,82.0000455940145,227.1438819162289,170.13420428066118,-6.821210263296962e-13,957030.6773303362
560,320.72187180790115,82.00003581585136,227.14388589798236,170.1342064782645,-6.821210263296962e-13,957030.6768422126
570,320.72187463490155,82.00002813473107,227.14388902580097,170.13420820456577,-6.821210263296962e-13,957030.6764587729
580,320.7218768556191,82.00002210091691,227.14389148282189,170.13420956064155,-5.684341886080801e-13,957030.6761575666
590,320.7218786000783,82.00001736112412,227.14389341290592,170.13421062589111,-5.684341886080801e-13,957030.6759209575
600,320.72187997041834,82.00001363783444,227.14389492906105,170.13421146268567,-4.547473508864641e-13,957030.675735092
610,320.7218810468733,82.00001071304679,227.1438961200593,170.1342121200201,-4.547473508864641e-13,957030.6755890875
620,320.72188189247044,82.00000841551316,227.14389705563437,170.13421263638168,-3.410605131648481e-13,957030.6754743956
630,320.7218825567196,82.00000661071167,227.14389779056467,170.13421304200364,-4.547473508864641e-13,957030.6753843003
640,320.72188307851314,82.00000519297025,227.14389836788087,170.13421336063536,-3.410605131648481e-13,957030.6753135272
650,320.7218834884022,82.00000407927949,227.14389882138508,170.134213610933,-2.2737367544323206e-13,957030.6752579324
660,320.72188381038586,82.00000320443225,227.14389917763023,170.13421380755142,-2.2737367544323206e-13,957030.6752142604
670,320.72188406331657,82.00000251720583,227.14389945747456,170.13421396200283,-2.2737367544323206e-13,957030.6751799543
680,320.72188426200347,82.00000197736286,227.14389967730315,170.1342140833304,-1.1368683772161603e-13,957030.6751530055
