round,x_1,x_2,x_3,x_4,x_5,x_6,balance_error_kw,cost
500,334.11138540302875,82.30850888128283,237.19280868964063,176.38730153790382,59.99999548814182,259.9999999999997,-2.5011104298755527e-12,1355489.0350301282
510,334.120019799576,82.28786090925192,237.20035151472692,176.39177106161333,59.99999671482945,259.9999999999997,-2.7284841053187847e-12,1355488.6292941016
520,334.12805953175524,82.26864336502342,237.2073689558621,176.3959305393277,59.999997608028806,259.9999999999997,-2.9558577807620168e-12,1355488.2527961067
530,334.13554792362504,82.25075092713165,237.21390004712012,176.39980284372592,59.99999825839437,259.9999999999997,-3.183231456205249e-12,1355487.9032239013
540,334.14252484293775,82.23408682507076,237.21998061300977,176.40340898703863,59.99999873193994,259.9999999999997,-3.410605131648481e-12,1355487.5784768963
550,334.14902701404407,82.21856204479948,237.2256435706239,176.40676829379385,59.9999990767353,259.9999999999997,-3.637978807091713e-12,1355487.2766425915
560,334.15508829805106,82.20409462033018,237.2309191988419,176.4098985549899,59.999999327783335,259.9999999999997,-3.865352482534945e-12,1355486.995976264
570,334.1607399441592,82.1906090006149,237.23583537867546,176.4128161659751,59.99999951057157,259.9999999999997,-4.092726157978177e-12,1355486.7348833708
580,334.1660108155769,82.17803548246806,237.24041780828895,176.41553625000344,59.99999964365867,259.9999999999997,-4.320099833421409e-12,1355486.4919042136
590,334.17092759296577,82.16630970155371,237.24469019574641,176.41807276917206,59.99999974055789,259.9999999999997,-4.547473508864641e-12,1355486.2657005182
600,334.1755149579843,82.15537217455591,237.24867443212847,176.42043862421835,59.999999811108594,259.9999999999997,-4.547473508864641e-12,1355486.055043634
610,334.17979575916854,82.14516788657521,237.25239074731417,176.42264574446244,59.99999986247503,259.9999999999997,-5.002220859751105e-12,1355485.8588041167
620,334.1837911621047,82.13564591858253,237.25585785042102,176.42470516901335,59.99999989987357,259.9999999999997,-5.229594535194337e-12,1355485.6759424966
630,334.1875207856043,82.12675911043182,237.25909305664118,176.42662712021522,59.99999992710231,259.9999999999997,-5.4569682106375694e-12,1355485.5055010722
640,334.1910028253829,82.11846375550958,237.2621124019889,176.4284210701866,59.999999946926586,259.9999999999997,-5.6843418860808015e-12,1355485.3465965888
650,334.19425416655827,82.11071932359113,237.26493074728538,176.4300958011997,59.99999996135988,259.9999999999997,-5.9117155615240335e-12,1355485.1984136917
660,334.1972904861309,82.1034882088982,237.26756187254162,176.43165946055524,59.99999997186816,259.9999999999997,-6.139089236967266e-12,1355485.060199051
670,334.20012634646747,82.09673550071801,237.27001856275956,176.43311961052999,59.99999997951875,259.9999999999997,-6.59383658785373e-12,1355484.9312560814
680,334.20277528069386,82.0904287742597,237.27231268604714,176.43448327390408,59.99999998508878,259.9999999999997,-6.821210263296962e-12,1355484.810940184
690,334.2052498707961,82.08453789969823,237.27445526483794,176.43575697551702,59.99999998914403,259.9999999999997,-7.048583938740194e-12,1355484.6986544437
700,334.20756181914203,82.07903486759277,237.27645654091316,176.4369467802487,59.99999999209644,259.9999999999997,-7.275957614183426e-12,1355484.5938457432
710,334.209722014053,82.07389362907408,237.27832603484308,176.4380583277767,59.999999994245925,259.9999999999997,-7.503331289626658e-12,1355484.4960012315
720,334.21174058998935,82.06908994937508,237.28007260039507,176.4390968644222,59.99999999581084,259.9999999999997,-7.73070496506989e-12,1355484.4046451226
730,334.2136269828494,82.06460127343688,237.28170447439427,176.4400672723616,59.999999996950166,259.9999999999997,-7.958078640513122e-12,1355484.3193357773
740,334.21538998083236,82.0604066024598,237.28322932246886,176.44097409645147,59.99999999777962,259.9999999999997,-8.185452315956354e-12,1355484.2396630489
750,334.21703777126487,82.0564863803908,237.28465428106568,176.4418215688872,59.999999998383494,259.9999999999997,-8.185452315956354e-12,1355484.1652458573
760,334.2185779837507,82.05282238944393,237.28598599608054,176.44261363189332,59.99999999882314,259.9999999999997,-8.640199666842818e-12,1355484.095729973
770,334.22001772996936,82.04939765384607,237.28723065841046,176.44335395862228,59.99999999914321,259.9999999999997,-8.86757334228605e-12,1355484.0307859904
780,334.2213636404106,82.04619635108035,237.2883940367042,176.44404597241976,59.99999999937624,259.9999999999997,-9.094947017729282e-12,1355483.97010747
790,334.22262189831093,82.04320372997526,237.28948150755852,176.44469286460026,59.99999999954589,259.9999999999997,-9.322320693172514e-12,1355483.9134092326
800,334.22379827102645,82.04040603505064,237.2904980833833,176.44529761086088,59.999999999669406,259.9999999999997,-9.549694368615746e-12,1355483.8604257961
810,334.2248981390561,82.03779043658987,237.29144843813566,176.44586298644955,59.99999999975932,259.9999999999997,-9.777068044058979e-12,1355483.8109099353
820,334.22592652291064,82.0353449659588,237.29233693110422,176.44639158019183,59.999999999824766,259.9999999999997,-1.000444171950221e-11,1355483.7646313577
830,334.22688810800145,82.0330584557368,237.2931676289075,176.44688580747186,59.99999999987243,259.9999999999997,-1.0231815394945443e-11,1355483.7213754866
840,334.22778726770923,82.03092048426714,237.29394432585352,176.44734792225273,59.999999999907125,259.9999999999997,-1.0459189070388675e-11,1355483.6809423321
850,334.2286280847782,82.02892132426881,237.29467056279572,176.44778002821434,59.999999999932385,259.9999999999997,-1.0913936421275139e-11,1355483.6431454578
860,334.2294143711674,82.02705189518551,237.2953496446062,176.44818408907935,59.999999999950774,259.9999999999997,-1.0913936421275139e-11,1355483.6078110207
870,334.23014968647936,82.02530371897603,237.29598465637747,176.448561938192,59.99999999996417,259.9999999999997,-1.1141310096718371e-11,1355483.5747768846
880,334.23083735507714,82.02366887907677,237.29657847845272,176.4489152874084,59.99999999997391,259.9999999999997,-1.1368683772161603e-11,1355483.5438918045
890,334.23148048198857,82.02213998229037,237.2971338003775,176.44924573535124,59.99999999998101,259.9999999999997,-1.1596057447604835e-11,1355483.5150146647
900,334.2320819676923,82.02071012337609,237.29765313385522,176.44955477507864,59.99999999998618,259.9999999999997,-1.1823431123048067e-11,1355483.48801378
910,334.23264452186646,82.0193728521361,237.29813882478408,176.4498438012115,59.999999999989946,259.9999999999997,-1.2278178473934531e-11,1355483.4627662436
920,334.23317067618063,82.0181221428096,237.29859306444484,176.45011411656006,59.999999999992674,259.9999999999997,-1.2505552149377763e-11,1355483.4391573255
930,334.2336627961992,82.01695236560252,237.2990178999036,176.45036693828754,59.999999999994664,259.9999999999997,-1.2732925824820995e-11,1355483.4170799113
940,334.234123092464,82.01585826019374,237.2994152436883,176.45060340364512,59.99999999999611,259.9999999999997,-1.2960299500264227e-11,1355483.3964339844
950,334.2345536308136,82.01483491107302,237.29978688279317,176.45082457531015,59.99999999999718,259.9999999999997,-1.318767317570746e-11,1355483.3771261433
960,334.2349563419961,82.01387772457645,237.3001344870603,176.45103144635604,59.99999999999795,259.9999999999997,-1.3415046851150692e-11,1355483.3590691532
970,334.2353330306265,82.01298240749627,237.30045961698409,176.45122494488132,59.9999999999985,259.9999999999997,-1.3642420526593924e-11,1355483.3421815315
980,334.23568538353396,82.01214494715178,237.30076373097992,176.45140593832193,59.999999999998906,259.9999999999997,-1.3869794202037156e-11,1355483.326387158
990,334.2360149775435,82.01136159281647,237.30104819215697,176.45157523747,59.999999999999204,259.9999999999997,-1.4097167877480388e-11,1355483.311614917
1000,334.23632328673267,82.01062883840498,237.3013142746292,176.45173360021948,59.99999999999942,259.9999999999997,-1.4551915228366852e-11,1355483.2977983616
1010,334.2366116891985,82.00994340633072,237.30156316939852,176.45188173505824,59.99999999999957,259.9999999999997,-1.4779288903810084e-11,1355483.2848754025
