round,x_1,x_2,x_3,x_4,balance_error_kw,cost
820,320.72188498979443,82.0000000000004,227.14390048246588,170.13421452774082,1.5916157281026244e-12,957030.6750542988
830,320.7218849897856,82.00000000000026,227.14390048247643,170.13421452773923,1.5916157281026244e-12,957030.6750542988
840,320.72188498977937,82.00000000000018,227.14390048248393,170.13421452773804,1.4779288903810084e-12,957030.6750542988
850,320.72188498977494,82.00000000000018,227.14390048248927,170.1342145277372,1.5916157281026244e-12,957030.6750542988
860,320.7218849897718,82.00000000000018,227.14390048249305,170.13421452773665,1.7053025658242404e-12,957030.6750542991
870,320.7218849897696,82.00000000000018,227.14390048249575,170.13421452773628,1.8189894035458565e-12,957030.6750542992
880,320.72188498976806,82.00000000000018,227.1439004824977,170.134214527736,1.9326762412674725e-12,957030.6750542994
890,320.7218849897669,82.00000000000018,227.14390048249908,170.13421452773576,1.9326762412674725e-12,957030.6750542994
900,320.72188498976624,82.00000000000018,227.14390048250004,170.13421452773568,2.1600499167107046e-12,957030.6750542998
910,320.72188498976567,82.00000000000018,227.14390048250078,170.1342145277356,2.2737367544323206e-12,957030.6750542999
920,320.7218849897652,82.00000000000018,227.14390048250135,170.1342145277355,2.2737367544323206e-12,957030.6750542999
930,320.7218849897652,82.00000000000018,227.14390048250164,170.1342145277355,2.5011104298755527e-12,957030.6750543003
940,320.7218849897652,82.00000000000018,227.14390048250192,170.1342145277355,2.8421709430404007e-12,957030.6750543008
950,320.7218849897652,82.00000000000018,227.1439004825022,170.13421452773554,3.183231456205249e-12,957030.6750543013
960,320.7218849897652,82.00000000000018,227.14390048250243,170.1342145277356,3.410605131648481e-12,957030.6750543017
970,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
980,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
990,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1000,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1010,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1020,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1030,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1040,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1050,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1060,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1070,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1080,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1090,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1100,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1110,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1120,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1130,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1140,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1150,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1160,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1170,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1180,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1190,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1200,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1210,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1220,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1230,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1240,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1250,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
