round,x_1,x_2,x_3,x_4,x_5,x_6,balance_error_kw,cost
950,332.30990814727517,82.00000292210137,238.49565515592633,177.19444775411017,59.99998602057154,259.99999999999983,-1.5688783605583012e-11,1355490.9079651851
960,332.30990849759985,82.00000249388458,238.49565359681392,177.19444741278164,59.99998799890437,259.99999999999983,-1.5916157281026244e-11,1355490.9071301015
970,332.3099087965864,82.00000212842043,238.49565225815053,177.1944471195581,59.99998969726867,259.99999999999983,-1.6143530956469476e-11,1355490.9064132436
980,332.30990905175815,82.00000181651292,238.49565110876694,177.19444686766101,59.999991155284825,259.99999999999983,-1.6370904631912708e-11,1355490.9057978734
990,332.30990926953604,82.00000155031361,238.49565012190095,177.19444665126684,59.9999924069663,259.99999999999983,-1.6370904631912708e-11,1355490.9052696233
1000,332.3099094553998,82.00000132312425,238.49564927457394,177.19444646537252,59.99999348151302,259.99999999999983,-1.659827830735594e-11,1355490.9048161588
1010,332.3099096140263,82.00000112922817,238.49564854705633,177.19444630567992,59.99999440399266,259.99999999999983,-1.6825651982799172e-11,1355490.9044268923
1020,332.309909749407,82.00000096374643,238.49564792240798,177.19444616849654,59.99999519592535,259.99999999999983,-1.6825651982799172e-11,1355490.9040927351
1030,332.30990986494834,82.00000082251505,238.4956473860838,177.19444605065007,59.99999587578575,259.99999999999983,-1.7280399333685637e-11,1355490.9038058848
1040,332.3099099635577,82.0000007019803,238.49564692559537,177.19444594941535,59.999996459434044,259.99999999999983,-1.750777300912887e-11,1355490.9035596442
1050,332.3099100477164,82.00000059910921,238.49564653021986,177.19444586245106,59.99999696048593,259.99999999999983,-1.77351466845721e-11,1355490.9033482643
1060,332.3099101195421,82.00000051131327,238.4956461907506,177.19444578774596,59.99999739063022,259.99999999999983,-1.7962520360015333e-11,1355490.9031668094
1070,332.3099101808421,82.00000043638333,238.49564589928272,177.19444572357216,59.99999775990159,259.99999999999983,-1.8189894035458565e-11,1355490.903011043
1080,332.309910233159,82.00000037243392,238.49564564902892,177.19444566844524,59.999998076914615,259.99999999999983,-1.8417267710901797e-11,1355490.9028773285
1090,332.3099102778091,82.0000003178559,238.49564543416164,177.19444562109,59.99999834906477,259.99999999999983,-1.864464138634503e-11,1355490.9027625439
1100,332.309910315916,82.00000027127598,238.4956452496773,177.19444558041096,59.99999858270091,259.99999999999983,-1.9099388737231493e-11,1355490.9026640092
1110,332.30991034843845,82.00000023152207,238.49564509127973,177.19444554546712,59.999998783273476,259.99999999999983,-1.9326762412674725e-11,1355490.902579424
1120,332.3099103761949,82.00000019759386,238.4956449552803,177.19444551544998,59.99999895546152,259.99999999999983,-1.9554136088117957e-11,1355490.9025068134
1130,332.30991039988385,82.00000016863763,238.49564483851194,177.19444548966504,59.999999103281944,259.99999999999983,-1.978150976356119e-11,1355490.902444482
1140,332.3099104201013,82.00000014392478,238.49564473825532,177.19444546751564,59.99999923018321,259.99999999999983,-2.000888343900442e-11,1355490.902390975
1150,332.3099104373559,82.00000012283344,238.49564465217566,177.19444544848923,59.99999933912572,259.99999999999983,-2.0236257114447653e-11,1355490.9023450427
1160,332.3099104520818,82.00000010483294,238.4956445782683,177.19444543214567,59.99999943265097,259.99999999999983,-2.0463630789890885e-11,1355490.9023056128
1170,332.30991046464976,82.00000008947026,238.495644514812,177.19444541810657,59.999999512940775,259.99999999999983,-2.091837814077735e-11,1355490.9022717646
1180,332.3099104753759,82.00000007635892,238.49564446032898,177.19444540604718,59.99999958186816,259.99999999999983,-2.114575181622058e-11,1355490.9022427085
1190,332.30991048453023,82.00000006516896,238.49564441355034,177.19444539568826,59.99999964104112,259.99999999999983,-2.114575181622058e-11,1355490.9022177656
1200,332.30991049234296,82.00000005561883,238.49564437338665,177.19444538679014,59.999999691840074,259.99999999999983,-2.1600499167107046e-11,1355490.9021963538
1210,332.30991049901075,82.00000004746822,238.4956443389026,177.19444537914677,59.999999735450075,259.99999999999983,-2.1827872842550278e-11,1355490.902177973
1220,332.30991050470135,82.00000004051203,238.49564430929493,177.19444537258136,59.999999772888515,259.99999999999983,-2.205524651799351e-11,1355490.9021621945
1230,332.3099105095581,82.00000003457524,238.49564428387413,177.1944453669418,59.99999980502874,259.99999999999983,-2.205524651799351e-11,1355490.9021486496
1240,332.3099105137031,82.00000002950844,238.49564426204822,177.19444536209758,59.999999832620574,259.99999999999983,-2.2282620193436742e-11,1355490.9021370222
1250,332.3099105172405,82.00000002518415,238.4956442433087,177.19444535793653,59.99999985630768,259.99999999999983,-2.2509993868879974e-11,1355490.9021270406
